Name,Region,Area(km2),Population,Density(/km2),latitude,longitude,0_to_24,25_to_64,65_and_over,senior_ratio,nursinghome_count,cluster,1st Most common venue,2nd Most common venue,3rd Most common venue,4th Most common venue,5th Most common venue,6th Most common venue,7th Most common venue,8th Most common venue,9th Most common venue,10th Most common venue
DOWNTOWN CORE,Central,4.34,2720.0,680.0,1.28747505,103.85603322292744,400,1780,320,12.8,0.0,1,Hotel,Event Space,Waterfront,Lounge,Buffet,Cocktail Bar,Hotel Pool,Roof Deck,Tea Room,Steakhouse
GEYLANG,Central,9.64,110200.0,11400.0,1.3181862,103.8870563,24380,65800,20340,18.403908794788272,5.0,3,Chinese Restaurant,Asian Restaurant,Food Court,Noodle House,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Dessert Shop,Seafood Restaurant,Supermarket,Steakhouse
HOUGANG,North-East,13.93,226240.0,16000.0,1.3706821000000002,103.89254501114073,55560,136430,35120,15.463872132446832,9.0,3,Food Court,Coffee Shop,Chinese Restaurant,Fast Food Restaurant,Asian Restaurant,Bus Station,Supermarket,Vegetarian / Vegan Restaurant,Café,Shopping Mall
JURONG EAST,West,17.83,79240.0,4400.0,1.333108,103.7422939,18520,46660,14050,17.73318187555219,2.0,3,Coffee Shop,Japanese Restaurant,Chinese Restaurant,Café,Food Court,Shopping Mall,Korean Restaurant,Department Store,Supermarket,Clothing Store
JURONG WEST,West,14.69,264860.0,18000.0,1.3396365,103.7073387,74500,159060,31450,11.86747669899249,2.0,3,Japanese Restaurant,Asian Restaurant,Food Court,Chinese Restaurant,Fast Food Restaurant,Café,Dessert Shop,Coffee Shop,Indian Restaurant,Gym / Fitness Center
KALLANG,Central,9.17,101520.0,11000.0,1.310759,103.866262,21580,59620,20740,20.345301157543652,1.0,3,Hostel,Noodle House,Chinese Restaurant,Coffee Shop,Food Court,BBQ Joint,Thai Restaurant,Restaurant,Supermarket,Soup Place
LIM CHU KANG,North,17.3,110.0,5.2,1.4342172,103.7149872,20,40,10,14.285714285714285,0.0,0,Farm,Zoo Exhibit,Theme Park Ride / Attraction,Vegetarian / Vegan Restaurant,Filipino Restaurant,Exhibit,Farmers Market,Fast Food Restaurant,Field,Fish & Chips Shop
MANDAI,North,11.77,2090.0,180.2,1.4235346000000002,103.8033499,610,1200,250,12.135922330097088,0.0,3,Cosmetics Shop,Speakeasy,Trail,Coffee Shop,Chinese Restaurant,Filipino Restaurant,Exhibit,Farm,Farmers Market,Fast Food Restaurant
MARINA EAST,Central,1.82,0.0,0.0,1.288624,103.869827,0,0,0,0.0,0.0,1,Scenic Lookout,Garden,Café,Seafood Restaurant,Racetrack,Lounge,Waterfront,Satay Restaurant,Art Gallery,Coffee Shop
MARINA SOUTH,Central,1.62,0.0,0.0,1.276998,103.8615002,0,0,0,0.0,0.0,1,Garden,Hotel,Coffee Shop,Bar,Waterfront,Scenic Lookout,Seafood Restaurant,Boutique,Botanical Garden,Shopping Mall
MARINE PARADE,Central,6.12,46390.0,8000.0,1.3026889,103.9073952,11550,25870,9030,19.44025834230355,0.0,1,Chinese Restaurant,Bakery,Asian Restaurant,Noodle House,Indian Restaurant,Japanese Restaurant,Bar,Hotel,Coffee Shop,Food Court
MUSEUM,Central,0.83,420.0,480.0,1.2960522,103.84759915065096,90,330,10,2.3255813953488373,0.0,1,Hotel,Japanese Restaurant,Café,Shopping Mall,Wine Bar,Arts & Crafts Store,Event Space,Movie Theater,Bistro,Cocktail Bar
NEWTON,Central,2.07,8030.0,3800.0,1.31318325,103.83804024301278,2150,4750,1100,13.750000000000002,1.0,1,Chinese Restaurant,Café,Hotel,Asian Restaurant,Japanese Restaurant,Thai Restaurant,Italian Restaurant,Seafood Restaurant,American Restaurant,Sushi Restaurant
NOVENA,Central,8.98,49210.0,5600.0,1.3205257,103.84388133927948,12330,28610,8450,17.10872646284673,4.0,3,Chinese Restaurant,Hotel,Café,Coffee Shop,Bakery,Asian Restaurant,Food Court,Supermarket,Sandwich Place,Noodle House
ORCHARD,Central,0.96,990.0,960.3,1.30512,103.832131,200,550,150,16.666666666666664,0.0,1,Boutique,Hotel,Japanese Restaurant,Cosmetics Shop,Coffee Shop,Shopping Mall,Sushi Restaurant,Clothing Store,Bakery,Department Store
OUTRAM,Central,1.37,18960.0,13500.0,1.2828695,103.8378603,3570,10780,4700,24.671916010498688,2.0,1,Café,Japanese Restaurant,Hotel,Italian Restaurant,Coffee Shop,Bookstore,Chinese Restaurant,Food Court,Seafood Restaurant,Beer Bar
PASIR RIS,East,15.02,148020.0,9600.0,1.3730307,103.949255,43790,89120,15300,10.323190068146548,3.0,3,Coffee Shop,Food Court,Supermarket,Fast Food Restaurant,Sandwich Place,Thai Restaurant,Park,Italian Restaurant,Karaoke Bar,Steakhouse
PAYA LEBAR,East,11.69,40.0,3.4,1.350399,103.901299,0,0,0,0.0,0.0,1,Airport,Track,Museum,Airport Terminal,Furniture / Home Store,Military Base,Food & Drink Shop,Lounge,Bus Station,Zoo Exhibit
PIONEER,West,12.1,90.0,8.3,1.317788,103.664135,0,0,0,0.0,0.0,3,Park,Food Court,Coffee Shop,Restaurant,Field,English Restaurant,Event Space,Exhibit,Farm,Farmers Market
PUNGGOL,North-East,9.34,170560.0,17800.0,1.4052585,103.9023302,57080,101510,12330,7.213901240346361,1.0,3,Fast Food Restaurant,Chinese Restaurant,Steakhouse,Basketball Court,Coffee Shop,Light Rail Station,Supermarket,Food Court,Japanese Restaurant,Asian Restaurant
QUEENSTOWN,Central,20.43,96340.0,4400.0,1.2946226,103.8060366,21610,55020,19840,20.565979060847933,3.0,3,Chinese Restaurant,Food Court,Coffee Shop,Café,Noodle House,Supermarket,BBQ Joint,Sporting Goods Shop,Juice Bar,Asian Restaurant
RIVER VALLEY,Central,1.48,10250.0,6800.0,1.29758205,103.8365141844243,2590,6280,1310,12.868369351669942,0.0,1,Shopping Mall,Hotel,Clothing Store,Japanese Restaurant,Sushi Restaurant,Wine Bar,Coffee Shop,Cosmetics Shop,Boutique,Electronics Store
ROCHOR,Central,1.62,13340.0,8300.0,1.30326565,103.85242609639884,2420,7690,2750,21.384136858475895,0.0,1,Indian Restaurant,Hotel,Café,Vegetarian / Vegan Restaurant,Bakery,Japanese Restaurant,Chinese Restaurant,Pool,Ice Cream Shop,Restaurant
SELETAR,North-East,10.25,250.0,26.3,1.4098488,103.8773789,90,150,20,7.6923076923076925,0.0,1,Café,Airport Terminal,Harbor / Marina,Gastropub,Zoo Exhibit,Fish & Chips Shop,Farm,Farmers Market,Fast Food Restaurant,Field
SEMBAWANG,North,12.34,95920.0,8400.0,1.4490928,103.8200555,29350,58390,8330,8.670760903507858,2.0,3,Coffee Shop,Chinese Restaurant,Asian Restaurant,Fast Food Restaurant,Park,Italian Restaurant,Pizza Place,Food Truck,Food Court,Café
SENGKANG,North-East,10.59,244600.0,23000.0,1.3916536000000002,103.89536361089395,76330,146330,22250,9.08496998897554,2.0,3,Food Court,Fast Food Restaurant,Bus Station,Coffee Shop,Supermarket,Shopping Mall,Metro Station,Grocery Store,Bus Stop,Chinese Restaurant
SERANGOON,North-East,10.1,116310.0,11500.0,1.3498624,103.8737292,27350,67790,21350,18.32775345523221,1.0,3,Coffee Shop,Bus Station,Asian Restaurant,Chinese Restaurant,Café,Bakery,Bar,Ice Cream Shop,Fast Food Restaurant,Pet Store
SIMPANG,North,5.13,0.0,0.0,1.4452954,103.8497425,0,0,0,0.0,0.0,1,Harbor / Marina,Platform,Shopping Mall,Japanese Restaurant,Seafood Restaurant,Multiplex,Flea Market,Food,Fishing Spot,Fish & Chips Shop
SINGAPORE RIVER,Central,0.96,3070.0,3000.0,1.28917835,103.84515431766009,770,1920,250,8.503401360544217,0.0,1,Japanese Restaurant,Hotel,Nightclub,Seafood Restaurant,Wine Bar,Hostel,BBQ Joint,Restaurant,Food Court,Soup Place
SOUTHERN ISLANDS,Central,6.07,1800.0,244.0,1.19918215,103.76024922122228,520,1230,130,6.914893617021277,0.0,6,Trail,Dry Cleaner,Zoo Exhibit,Filipino Restaurant,Exhibit,Farm,Farmers Market,Fast Food Restaurant,Field,Fish & Chips Shop
STRAITS VIEW,Central,0.77,0.0,0.0,1.2557081,103.86222821751517,0,0,0,0.0,0.0,1,Cruise,Pier,Diner,Café,Zoo Exhibit,Exhibit,Farm,Farmers Market,Fast Food Restaurant,Field
SUNGEI KADUT,North,15.99,780.0,53.2,1.4149971,103.7533106,170,380,150,21.428571428571427,0.0,3,Furniture / Home Store,Café,Food Court,Ramen Restaurant,Beach,Playground,Coffee Shop,Restaurant,Farm,Bus Station
TAMPINES,East,20.89,256730.0,12400.0,1.3546528,103.9435712,67130,154530,35360,13.757684226908411,3.0,3,Coffee Shop,Café,Bakery,Food Court,Park,Chinese Restaurant,Supermarket,Gym,Bubble Tea Shop,Thai Restaurant
TANGLIN,Central,7.63,21630.0,2800.0,1.3060443000000002,103.8152804,6110,12520,3080,14.187010594196222,0.0,1,Café,Bar,Lounge,French Restaurant,Park,Modern European Restaurant,Thai Restaurant,Garden,Restaurant,Supermarket
TENGAH,West,7.4,10.0,1.4,1.3624531000000002,103.7250401042214,0,0,0,0.0,0.0,5,Asian Restaurant,Zoo Exhibit,Fish & Chips Shop,Exhibit,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Fishing Spot
TOA PAYOH,Central,8.17,120650.0,14300.0,1.3353906,103.8497414,26610,69560,24890,20.560052866347267,3.0,3,Chinese Restaurant,Noodle House,Food Court,Coffee Shop,Asian Restaurant,Seafood Restaurant,Dessert Shop,Steakhouse,Café,Thai Restaurant
TUAS,West,30.04,70.0,2.3,1.3293722,103.6482364,0,0,0,0.0,0.0,3,Brewery,Café,Food Court,Coffee Shop,Chinese Restaurant,Golf Course,Bar,Field,Farm,Farmers Market
WESTERN ISLANDS,West,39.47,10.0,0.25,1.250883,103.6878833716416,0,0,0,0.0,0.0,4,Scenic Lookout,Resort,Boat or Ferry,Harbor / Marina,Zoo Exhibit,Filipino Restaurant,Exhibit,Farm,Farmers Market,Fast Food Restaurant
WESTERN WATER CATCHMENT,West,69.46,720.0,13.0,1.3664522,103.6810305,280,390,10,1.4705882352941175,0.0,2,Gun Range,Gym,Event Space,Exhibit,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Zoo Exhibit
WOODLANDS,North,13.59,254730.0,18700.0,1.436897,103.786216,79000,152140,23860,9.35686274509804,3.0,3,Food Court,Coffee Shop,Fast Food Restaurant,Café,Shopping Mall,Clothing Store,Indian Restaurant,Supermarket,Japanese Restaurant,Chinese Restaurant
YISHUN,North,21.24,220320.0,10100.0,1.4293839,103.8350282,59200,134550,27060,12.254879760880396,3.0,3,Coffee Shop,Fast Food Restaurant,Food Court,Chinese Restaurant,Asian Restaurant,Thai Restaurant,Indian Restaurant,Fried Chicken Joint,Grocery Store,Ice Cream Shop
