Subzone,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over,0_to_24,25_to_64,65_and_over,total_population
BEDOK NORTH,2790,3140,3560,4250,4880,5740,5120,5340,5810,6030,6400,7050,6520,5950,4400,2640,1640,940,480,18620,48010,16050,82680
BEDOK RESERVOIR,1130,1270,1490,1510,1530,1590,1880,1940,2120,2120,1930,1880,1840,1470,890,490,300,180,70,6930,15300,3400,25630
BEDOK SOUTH,1490,1820,2200,2440,2850,3300,2870,2830,3160,3540,3580,3850,3760,3380,2570,1680,1220,680,370,10800,26890,9900,47590
FRANKEL,1480,2050,2080,1720,1890,2050,1940,2490,2990,3130,2490,2270,2080,1940,1430,890,700,440,280,9220,19440,5680,34340
KAKI BUKIT,1210,1270,1650,2080,2690,3310,2760,2270,2320,2520,2630,3490,3460,2600,1700,870,550,230,170,8900,22760,6120,37780
KEMBANGAN,1440,1380,1570,1870,2120,2790,2730,2520,2400,2580,2740,3040,3280,2690,1950,1270,860,510,330,8380,22080,7610,38070
SIGLAP,160,240,260,350,350,420,330,340,470,510,460,490,490,430,460,330,240,110,60,1360,3510,1630,6500
BISHAN EAST,850,1180,1330,1400,1580,2460,2040,1800,1920,2210,1920,2260,2420,2100,1350,870,570,300,150,6340,17030,5340,28710
MARYMOUNT,1070,1390,1630,1720,2190,2590,1740,1850,2080,2290,2330,2590,2330,1700,1100,660,390,220,130,8000,17800,4200,30000
UPPER THOMSON,930,1280,1470,1620,1800,2040,1650,1640,1940,2360,2260,2370,2390,1930,1430,1010,710,450,240,7100,16650,5770,29520
LIU FANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMULUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIPYARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUKANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRICKWORKS,1830,850,670,570,490,2200,2500,1240,1140,1000,790,610,460,320,210,130,60,40,10,4410,9940,770,15120
BUKIT BATOK CENTRAL,1260,1270,1400,1530,1560,2040,2340,1930,1870,1990,2030,2060,2110,1660,1020,600,400,190,120,7020,16370,3990,27380
BUKIT BATOK EAST,330,360,600,630,840,970,850,830,840,970,1020,1220,1260,950,560,290,180,110,60,2760,7960,2150,12870
BUKIT BATOK SOUTH,720,700,760,900,1190,1170,1300,1110,930,1100,1200,1320,1210,720,370,170,110,60,30,4270,9340,1460,15070
BUKIT BATOK WEST,670,610,740,840,940,1020,1230,1070,1050,1070,1100,1230,1190,1000,550,300,190,130,70,3800,8960,2240,15000
GOMBAK,370,540,570,570,650,700,610,770,900,790,720,720,630,540,380,250,190,90,50,2700,5840,1500,10040
GUILIN,450,570,740,760,850,870,860,930,1000,1140,1150,1070,900,700,420,280,200,110,80,3370,7920,1790,13080
HILLVIEW,580,750,1050,1430,1590,1400,1030,1030,1260,1690,1910,1760,1360,1010,570,350,190,120,60,5400,11440,2300,19140
HONG KAH NORTH,920,990,1270,1570,1740,2140,1760,1690,1700,1930,2090,2460,2470,1660,940,560,300,170,80,6490,16240,3710,26440
ALEXANDRA HILL,380,450,590,680,810,920,840,760,790,940,1020,1160,1130,1080,840,560,410,250,170,2910,7560,3310,13780
ALEXANDRA NORTH,150,150,130,80,70,110,200,270,250,240,160,110,80,50,40,20,10,0,0,580,1420,120,2120
BUKIT HO SWEE,520,630,540,540,620,850,970,1040,970,1010,1010,1180,1310,1120,880,680,460,280,170,2850,8340,3590,14780
